threshold,precision,recall
0.05627375888003101,0.20574162679425836,0.9641255605381166
0.05627675118302353,0.20593869731800765,0.9641255605381166
0.05631121725929609,0.20613614573346117,0.9641255605381166
0.0563373340923587,0.20633397312859886,0.9641255605381166
0.05637903398050584,0.20653218059558118,0.9641255605381166
0.056562383093038564,0.20673076923076922,0.9641255605381166
0.0566901011865527,0.20692974013474494,0.9641255605381166
0.05680600281455063,0.2071290944123314,0.9641255605381166
0.05699129472011619,0.2073288331726133,0.9641255605381166
0.05711411723901557,0.20752895752895753,0.9641255605381166
0.057126476576023065,0.20772946859903382,0.9641255605381166
0.05720276130684269,0.2079303675048356,0.9641255605381166
0.05721174785711824,0.20813165537270087,0.9641255605381166
0.05731512254238171,0.20833333333333334,0.9641255605381166
0.05753786271161098,0.20853540252182348,0.9641255605381166
0.05786725666950734,0.2087378640776699,0.9641255605381166
0.05799427605128192,0.20894071914480078,0.9641255605381166
0.05800870006961255,0.20914396887159534,0.9641255605381166
0.05820624568304012,0.20837390457643623,0.9596412556053812
0.058756028348089025,0.20760233918128654,0.9551569506726457
0.058859149253026585,0.20682926829268292,0.9506726457399103
0.05945096082250147,0.20703125,0.9506726457399103
0.059686333461469544,0.2072336265884653,0.9506726457399103
0.059936817775619815,0.20743639921722112,0.9506726457399103
0.05997051422357289,0.20763956904995104,0.9506726457399103
0.06005535633738791,0.20784313725490197,0.9506726457399103
0.060330526581409465,0.20804710500490678,0.9506726457399103
0.06046953491585878,0.2082514734774067,0.9506726457399103
0.060666060697075204,0.20845624385447395,0.9506726457399103
0.060732639515634276,0.20866141732283464,0.9506726457399103
0.06085220257460866,0.20886699507389161,0.9506726457399103
0.06110028001246275,0.20907297830374755,0.9506726457399103
0.061337714331700634,0.20927936821322804,0.9506726457399103
0.06172171339944632,0.20948616600790515,0.9506726457399103
0.062100846062630284,0.20969337289812068,0.9506726457399103
0.06219021414906622,0.2099009900990099,0.9506726457399103
0.06220413945562176,0.21010901883052527,0.9506726457399103
0.06237029324620606,0.20932539682539683,0.9461883408071748
0.06276082782808445,0.20854021847070506,0.9417040358744395
0.06292157763648276,0.20874751491053678,0.9417040358744395
0.06316626283043646,0.208955223880597,0.9417040358744395
0.06319341422669757,0.20916334661354583,0.9417040358744395
0.06347340873803686,0.20837487537387836,0.9372197309417041
0.06402409745976054,0.2085828343313373,0.9372197309417041
0.06402849199270541,0.2087912087912088,0.9372197309417041
0.06420029242650215,0.209,0.9372197309417041
0.06424380852653933,0.2082082082082082,0.9327354260089686
0.06425750851607884,0.20841683366733466,0.9327354260089686
0.06442735293254144,0.20762286860581744,0.9282511210762332
0.06449942691483583,0.20783132530120482,0.9282511210762332
0.0645256129708598,0.20804020100502513,0.9282511210762332
0.06470000404453148,0.20824949698189135,0.9282511210762332
0.06481970185846689,0.2084592145015106,0.9282511210762332
0.06547321125889005,0.20766129032258066,0.9237668161434978
0.06584825177199935,0.20787083753784055,0.9237668161434978
